time,ALT,HORZV,VERTV,LAT,LON
2.6,4583,20,-85,32.9393552,-106.9120218
2.7,4572,28,-101,32.9393528,-106.9120286
2.8,4559,45,-119,32.939344,-106.9120355
2.9,4547,33,-119,32.9393347,-106.9120402
3.0,4536,70,-118,32.93932,-106.9120484
3.1,4525,62,-110,32.9393044,-106.912059
3.2,4515,25,-102,32.9392967,-106.9120579
3.3,4507,41,-89,32.939288,-106.9120514
3.401,4499,59,-79,32.9392778,-106.9120384
3.6,4497,132,-14,32.9392314,-106.9120037
3.7,4525,148,124,32.9391928,-106.9119911
3.8,4571,150,271,32.939153,-106.9119824
3.9,4635,140,416,32.9391147,-106.9119774
4.0,4708,137,532,32.9390764,-106.911976
4.2,4882,149,731,32.9389973,-106.9119891
4.3,4973,158,790,32.9389541,-106.9119986
4.5,5153,167,852,32.9388611,-106.9120142
4.6,5243,164,866,32.9388138,-106.9120197
4.7,5334,160,874,32.9387676,-106.9120237
4.8,5426,157,876,32.9387227,-106.9120276
4.9,5517,156,875,32.9386794,-106.9120329
5.0,5610,161,875,32.9386362,-106.9120397
5.1,5702,165,872,32.9385919,-106.912048
5.2,5794,170,867,32.9385467,-106.9120569
5.3,5885,175,861,32.9384991,-106.9120655
5.401,5975,174,858,32.9384506,-106.9120728
5.401,5975,174,858,32.9384506,-106.9120728
5.6,6156,165,854,32.9383534,-106.9120847
5.8,6341,166,848,32.938263,-106.9120943
5.9,6430,167,847,32.9382169,-106.912102
6.0,6518,169,838,32.9381701,-106.91211
6.1,6605,168,837,32.9381231,-106.9121179
6.2,6694,169,830,32.9380767,-106.9121239
6.3,6782,166,822,32.9380322,-106.9121305
6.401,6869,163,820,32.9379877,-106.9121385
6.5,6957,164,818,32.9379434,-106.9121473
6.6,7042,141,794,32.9379052,-106.9121589
6.8,7216,165,797,32.9378183,-106.9121735
6.9,7302,165,802,32.9377727,-106.9121803
7.0,7387,164,794,32.9377284,-106.9121874
7.1,7471,163,786,32.9376836,-106.9121945
7.2,7557,166,781,32.9376388,-106.9122023
7.3,7644,165,780,32.9375944,-106.9122113
7.401,7729,163,777,32.9375501,-106.9122199
7.5,7817,161,775,32.9375058,-106.9122264
7.6,7906,168,769,32.9374617,-106.9122333
7.7,7987,169,762,32.9374162,-106.9122413
7.9,8156,163,748,32.9373251,-106.9122573
8.0,8244,165,741,32.937282,-106.9122639
8.1,8326,163,734,32.9372404,-106.9122716
8.2,8414,159,723,32.9371984,-106.9122822
8.3,8496,155,718,32.9371568,-106.9122911
8.401,8577,154,716,32.9371147,-106.9122989
8.5,8662,158,706,32.9370752,-106.9123091
8.6,8744,157,700,32.9370333,-106.9123199
8.7,8824,156,695,32.9369919,-106.9123294
8.9,8985,153,689,32.9369059,-106.9123469
9.0,9071,154,679,32.936865,-106.9123581
9.1,9158,154,674,32.9368218,-106.9123693
9.2,9235,152,671,32.9367803,-106.9123784
9.3,9315,149,669,32.936734,-106.912385
9.401,9395,151,665,32.9366912,-106.9123918
9.5,9469,153,657,32.9366517,-106.9123989
9.6,9547,152,652,32.9366092,-106.9124078
9.7,9621,151,650,32.9365683,-106.9124158
9.8,9695,146,646,32.9365232,-106.9124226
9.9,9771,149,642,32.9364806,-106.9124292
10.1,9919,151,631,32.9364036,-106.9124488
10.2,9987,148,627,32.9363637,-106.9124551
10.3,10058,145,626,32.9363207,-106.9124605
10.401,10131,148,620,32.9362787,-106.9124664
10.5,10212,149,611,32.9362296,-106.9124732
10.6,10297,149,607,32.9361791,-106.9124814
10.7,10373,145,605,32.9361302,-106.9124874
10.8,10438,141,601,32.9360889,-106.9124925
10.9,10505,144,597,32.9360482,-106.9124978
11.0,10583,146,590,32.9360019,-106.9125033
11.2,10729,144,583,32.9359083,-106.9125143
11.3,10791,140,579,32.935868,-106.9125186
11.401,10851,142,575,32.9358292,-106.9125221
11.5,10915,144,568,32.9357876,-106.9125278
11.6,10982,145,566,32.9357434,-106.9125323
11.7,11052,143,563,32.9356958,-106.9125369
11.8,11113,139,559,32.9356554,-106.9125406
11.9,11172,139,555,32.9356166,-106.9125443
12.0,11234,141,548,32.9355759,-106.9125484
12.2,11368,141,541,32.9354866,-106.9125577
12.3,11432,140,537,32.9354424,-106.9125614
12.401,11488,136,534,32.9354039,-106.9125649
12.5,11545,138,530,32.935366,-106.9125686
12.6,11602,140,523,32.9353261,-106.9125736
12.7,11665,141,520,32.9352833,-106.9125774
12.8,11726,139,518,32.9352409,-106.9125831
12.9,11781,137,514,32.9352016,-106.9125865
13.0,11834,135,511,32.9351646,-106.91259
13.1,11887,137,506,32.935127,-106.9125926
13.3,12001,139,495,32.9350447,-106.9125992
13.401,12057,137,493,32.935003,-106.9126022
13.5,12110,135,489,32.9349634,-106.9126051
13.6,12160,133,486,32.9349265,-106.9126084
13.7,12211,134,482,32.9348899,-106.9126109
13.8,12263,135,475,32.9348518,-106.9126147
13.9,12316,136,472,32.9348116,-106.9126181
14.0,12370,135,468,32.9347713,-106.9126217
14.1,12422,135,465,32.9347317,-106.9126244
14.2,12469,131,462,32.9346955,-106.9126273
14.3,12516,132,459,32.9346598,-106.9126303
14.401,12565,132,453,32.9346224,-106.9126329
14.5,12615,135,449,32.9345839,-106.9126368
14.6,12666,134,445,32.9345441,-106.9126399
14.7,12715,133,442,32.9345053,-106.9126437
14.8,12761,132,438,32.9344686,-106.9126464
14.9,12806,129,435,32.9344332,-106.9126496
15.0,12850,130,432,32.9343981,-106.9126525
15.1,12894,131,427,32.9343629,-106.9126551
15.2,12937,132,421,32.9343279,-106.9126591
15.3,12980,131,416,32.9342922,-106.9126615
15.401,13025,132,415,32.9342549,-106.9126648
15.5,13068,131,412,32.9342185,-106.9126674
15.6,13110,128,408,32.9341832,-106.9126695
15.7,13152,128,406,32.9341482,-106.9126715
15.8,13194,129,400,32.9341131,-106.9126732
15.9,13237,131,395,32.934077,-106.9126762
16.0,13279,131,392,32.9340402,-106.9126788
16.1,13321,130,389,32.9340036,-106.9126821
16.2,13362,129,384,32.9339672,-106.9126853
16.3,13401,127,381,32.9339325,-106.9126879
16.401,13440,125,379,32.9338984,-106.9126905
16.5,13478,127,375,32.9338646,-106.9126924
16.6,13516,126,369,32.9338308,-106.9126949
16.7,13556,128,367,32.9337948,-106.9126972
16.8,13595,128,363,32.9337587,-106.9126997
16.9,13634,127,361,32.9337223,-106.9127024
17.0,13672,127,357,32.9336872,-106.9127042
17.1,13708,126,354,32.9336523,-106.9127061
17.2,13744,125,350,32.9336181,-106.9127083
17.3,13780,125,347,32.9335841,-106.9127102
17.401,13817,125,341,32.9335485,-106.9127126
17.5,13854,128,337,32.9335124,-106.9127155
17.6,13890,127,334,32.9334761,-106.9127173
17.7,13926,126,331,32.9334399,-106.9127198
17.8,13961,126,328,32.9334046,-106.9127215
17.9,13995,125,326,32.9333703,-106.9127229
18.0,14028,123,322,32.9333365,-106.9127248
18.1,14061,124,320,32.9333031,-106.9127269
18.2,14093,124,315,32.9332698,-106.9127289
18.3,14126,125,309,32.9332354,-106.912732
18.401,14159,125,306,32.9332006,-106.9127342
18.5,14190,124,303,32.9331663,-106.9127362
18.6,14221,124,300,32.9331319,-106.9127387
18.7,14252,123,296,32.933098,-106.9127401
18.8,14282,122,292,32.9330644,-106.9127416
18.9,14312,121,289,32.9330309,-106.9127432
19.0,14343,122,286,32.9329963,-106.9127448
19.1,14374,122,282,32.9329621,-106.9127465
19.2,14404,122,277,32.9329281,-106.912749
19.3,14433,123,274,32.9328941,-106.912751
19.401,14461,122,271,32.9328598,-106.912753
19.5,14489,122,268,32.9328258,-106.9127552
19.6,14517,122,265,32.9327921,-106.9127569
19.7,14544,121,261,32.9327588,-106.9127579
19.8,14571,120,258,32.9327256,-106.9127595
19.9,14598,120,255,32.9326915,-106.9127609
20.0,14626,120,251,32.9326576,-106.9127625
20.1,14652,120,248,32.9326246,-106.9127647
20.2,14677,122,243,32.9325915,-106.9127672
20.3,14701,121,240,32.9325581,-106.9127695
20.401,14726,121,237,32.9325245,-106.9127721
20.5,14750,121,234,32.9324909,-106.9127744
20.6,14774,121,232,32.9324573,-106.912776
20.7,14798,120,227,32.9324243,-106.9127771
20.8,14821,118,225,32.9323916,-106.9127783
20.9,14845,118,222,32.9323589,-106.9127796
21.0,14867,119,219,32.9323265,-106.9127812
21.1,14890,118,214,32.9322945,-106.9127826
21.2,14912,119,210,32.9322624,-106.9127843
21.3,14933,119,206,32.9322298,-106.9127862
21.401,14954,119,203,32.9321972,-106.9127876
21.5,14975,119,201,32.9321645,-106.9127893
21.6,14996,119,197,32.9321316,-106.9127905
21.7,15017,119,195,32.9320989,-106.9127913
21.8,15037,118,191,32.9320663,-106.912792
21.9,15057,117,188,32.932034,-106.9127931
22.0,15076,116,184,32.9320018,-106.9127942
22.1,15095,117,182,32.9319697,-106.9127956
22.2,15114,117,178,32.9319378,-106.9127973
22.3,15132,117,173,32.9319058,-106.9127991
22.401,15150,118,170,32.9318736,-106.912801
22.401,15150,118,170,32.9318736,-106.912801
22.6,15185,117,164,32.9318089,-106.9128042
22.7,15202,117,161,32.9317763,-106.9128059
22.9,15236,116,156,32.9317114,-106.9128076
23.0,15252,115,153,32.9316794,-106.9128085
23.1,15267,115,148,32.9316477,-106.9128097
23.2,15283,115,145,32.9316158,-106.9128109
23.3,15297,115,142,32.9315841,-106.9128124
23.401,15312,115,139,32.9315526,-106.9128141
23.5,15326,115,136,32.9315211,-106.9128157
23.6,15340,115,131,32.9314896,-106.9128173
23.7,15354,115,128,32.9314579,-106.9128185
23.8,15367,115,125,32.9314262,-106.9128198
23.9,15381,115,121,32.9313943,-106.9128214
24.0,15394,115,118,32.9313623,-106.9128228
24.1,15406,115,116,32.9313303,-106.9128235
24.2,15419,115,113,32.9312986,-106.9128239
24.3,15430,114,109,32.931267,-106.9128245
24.401,15442,114,106,32.9312355,-106.9128253
24.5,15453,114,103,32.9312039,-106.9128264
24.6,15464,113,100,32.9311724,-106.9128274
24.7,15474,114,97,32.9311412,-106.9128287
24.8,15484,114,93,32.93111,-106.9128304
24.9,15493,113,90,32.9310787,-106.912832
25.0,15503,113,86,32.9310476,-106.9128333
25.1,15512,113,82,32.9310163,-106.9128346
25.2,15521,113,79,32.930985,-106.912836
25.3,15530,114,76,32.9309535,-106.9128374
25.401,15538,113,73,32.9309221,-106.9128383
25.5,15546,113,70,32.9308907,-106.9128393
25.6,15554,113,67,32.9308594,-106.9128391
25.7,15561,113,64,32.9308283,-106.9128394
25.8,15568,112,61,32.9307971,-106.9128396
25.9,15575,112,58,32.9307659,-106.9128401
26.0,15581,112,54,32.9307346,-106.9128408
26.1,15587,112,51,32.9307035,-106.912842
26.2,15593,112,48,32.9306727,-106.9128436
26.3,15598,112,45,32.9306417,-106.9128453
26.401,15603,107,40,32.9306111,-106.9128467
26.5,15607,107,37,32.9305817,-106.9128474
26.6,15611,108,33,32.9305521,-106.912848
26.7,15615,108,30,32.9305222,-106.9128486
26.8,15619,107,27,32.9304925,-106.9128493
26.9,15622,107,23,32.930463,-106.9128498
27.0,15625,106,21,32.9304337,-106.9128499
27.1,15627,105,19,32.9304045,-106.9128499
27.2,15629,105,15,32.9303755,-106.9128498
27.3,15631,104,12,32.9303466,-106.9128498
27.401,15633,104,10,32.930318,-106.9128498
27.6,15635,95,2,32.9302628,-106.9128506
27.7,15636,85,-3,32.9302377,-106.9128513
27.8,15636,79,-5,32.9302146,-106.9128521
27.9,15636,74,-9,32.9301928,-106.9128522
28.0,15637,73,-10,32.9301723,-106.9128507
28.1,15636,75,-11,32.9301523,-106.9128469
28.2,15635,79,-13,32.9301314,-106.912843
28.3,15634,71,-15,32.9301112,-106.9128391
28.5,15631,50,-18,32.9300792,-106.9128331
28.6,15629,42,-19,32.9300673,-106.9128304
28.7,15627,40,-21,32.9300567,-106.9128263
28.8,15625,41,-26,32.9300466,-106.9128201
28.9,15622,38,-29,32.9300373,-106.9128132
29.0,15619,33,-31,32.9300295,-106.9128065
29.1,15616,28,-34,32.9300229,-106.9128002
29.2,15613,26,-36,32.9300171,-106.9127942
29.3,15610,24,-39,32.9300121,-106.9127881
29.401,15607,23,-42,32.9300079,-106.9127818
29.6,15600,24,-44,32.9300023,-106.9127681
29.7,15596,25,-47,32.9300002,-106.9127596
30.401,15567,26,-58,32.9299951,-106.9126942
31.401,15511,37,-70,32.9300298,-106.9125892
32.401,15440,47,-78,32.9300993,-106.9124769
33.401,15362,54,-82,32.9301969,-106.912356
34.401,15281,60,-84,32.9303133,-106.9122276
35.401,15199,62,-87,32.9304413,-106.9120919
36.401,15113,66,-89,32.930577,-106.9119488
37.401,15028,68,-88,32.93072,-106.9118085
38.401,14940,69,-90,32.9308682,-106.9116685
39.401,14852,71,-88,32.9310203,-106.9115251
41.401,14675,72,-93,32.9313312,-106.9112267
42.401,14583,72,-92,32.931488,-106.9110773
43.401,14493,70,-89,32.931641,-106.9109292
44.401,14405,69,-88,32.9317921,-106.9107823
45.401,14318,69,-88,32.9319409,-106.910636
46.401,14229,68,-89,32.932088,-106.9104904
47.401,14139,70,-91,32.9322349,-106.910344
48.401,14049,71,-90,32.9323814,-106.9101946
49.401,13960,69,-90,32.9325253,-106.9100445
51.401,13786,69,-87,32.9328035,-106.9097347
52.401,13698,66,-90,32.932939,-106.9095819
53.401,13609,66,-88,32.9330716,-106.90943
54.401,13520,65,-89,32.933202,-106.909282
55.401,13432,66,-88,32.9333363,-106.9091344
56.401,13343,67,-90,32.933473,-106.9089855
57.401,13251,67,-92,32.9336107,-106.9088355
58.401,13162,67,-89,32.9337452,-106.9086819
59.401,13073,66,-88,32.9338774,-106.908527
60.401,12986,66,-90,32.9340082,-106.908375
63.401,12717,66,-87,32.9343949,-106.90791
64.401,12629,67,-87,32.9345188,-106.9077507
65.401,12542,66,-85,32.9346419,-106.9075941
66.401,12456,66,-86,32.9347662,-106.9074354
67.401,12368,66,-89,32.93489,-106.9072778
68.401,12279,67,-89,32.935014,-106.9071167
69.401,12188,64,-91,32.9351326,-106.9069572
70.401,12098,63,-88,32.9352529,-106.9068031
71.401,12009,62,-88,32.9353707,-106.9066495
72.401,11921,64,-88,32.9354888,-106.9064937
75.401,11663,65,-87,32.9358312,-106.9060195
76.401,11576,66,-88,32.935945,-106.9058541
77.401,11489,65,-88,32.9360583,-106.9056875
78.401,11400,64,-89,32.9361721,-106.9055216
79.401,11314,64,-86,32.9362872,-106.90536
80.401,11227,64,-88,32.9364048,-106.9052013
81.401,11139,64,-87,32.9365224,-106.905041
82.401,11051,64,-85,32.9366357,-106.9048795
83.401,10967,62,-84,32.9367431,-106.9047207
84.401,10883,61,-85,32.9368468,-106.9045612
85.401,10799,61,-84,32.9369473,-106.9043996
86.401,10715,61,-83,32.9370463,-106.9042401
87.401,10631,59,-85,32.9371453,-106.9040835
88.401,10545,60,-86,32.9372459,-106.903928
89.401,10459,59,-84,32.9373464,-106.9037685
90.401,10374,58,-84,32.9374433,-106.903609
91.401,10290,58,-85,32.9375362,-106.9034522
92.401,10204,60,-85,32.9376292,-106.9032948
93.401,10119,58,-83,32.9377189,-106.9031333
94.401,10036,58,-81,32.9378066,-106.9029711
95.401,9954,58,-83,32.9378955,-106.9028121
96.401,9869,58,-86,32.9379826,-106.9026514
97.401,9785,59,-83,32.93807,-106.9024889
98.401,9702,59,-81,32.9381586,-106.902324
100.401,9538,60,-80,32.9383375,-106.9019879
101.401,9458,59,-79,32.9384199,-106.9018194
102.401,9379,59,-79,32.9384997,-106.9016505
103.401,9299,57,-79,32.9385795,-106.9014838
104.401,9218,58,-81,32.9386581,-106.9013194
105.401,9137,57,-80,32.9387353,-106.9011576
106.401,9058,57,-78,32.9388102,-106.9009923
107.401,8979,59,-78,32.9388831,-106.9008222
108.401,8901,58,-78,32.9389555,-106.9006518
109.401,8824,57,-78,32.9390255,-106.9004839
110.401,8746,56,-78,32.9390945,-106.9003181
111.401,8667,55,-78,32.9391636,-106.9001554
112.401,8588,55,-78,32.939232,-106.8999921
113.401,8509,55,-80,32.9392983,-106.8998281
114.401,8429,55,-79,32.9393644,-106.899665
115.401,8350,55,-79,32.9394301,-106.8995016
116.401,8268,56,-82,32.9394942,-106.8993385
117.401,8186,54,-81,32.9395547,-106.899176
118.401,8106,54,-79,32.9396139,-106.8990115
119.401,8026,54,-78,32.9396724,-106.8988482
120.401,7946,52,-78,32.9397292,-106.8986868
121.401,7866,50,-78,32.9397815,-106.8985289
122.401,7788,48,-77,32.9398299,-106.8983758
123.401,7709,47,-75,32.9398755,-106.898227
124.401,7632,45,-78,32.9399218,-106.8980824
125.401,7554,44,-78,32.9399694,-106.8979423
126.401,7475,41,-79,32.940016,-106.8978115
127.401,7393,40,-79,32.9400618,-106.8976864
128.401,7313,37,-79,32.9401005,-106.8975701
129.401,7235,33,-77,32.9401356,-106.8974636
130.401,7157,32,-76,32.9401694,-106.8973655
131.401,7080,32,-77,32.940204,-106.8972731
132.401,7003,29,-77,32.9402407,-106.8971854
133.401,6924,28,-79,32.9402758,-106.8971
134.401,6845,28,-76,32.9403086,-106.8970143
135.401,6768,25,-77,32.9403398,-106.8969314
137.401,6614,22,-77,32.940409,-106.8967941
138.401,6536,20,-79,32.9404435,-106.8967376
139.401,6454,19,-83,32.9404763,-106.8966817
140.401,6371,20,-83,32.9405075,-106.896629
141.401,6287,20,-80,32.9405395,-106.8965767
142.401,6207,21,-80,32.9405785,-106.8965256
143.401,6126,23,-81,32.9406214,-106.8964711
144.401,6044,21,-80,32.9406609,-106.8964169
145.401,5964,17,-79,32.9406929,-106.8963667
146.401,5886,15,-77,32.9407176,-106.8963236
147.401,5808,16,-79,32.9407417,-106.8962811
148.401,5730,17,-77,32.9407668,-106.8962358
