alt,t
1239.39776,31.25
1227.986048,31.3
1219.710728,31.35
1210.652072,31.4
1200.843608,31.45
1191.047336,31.5
1180.76948,31.55
1170.964064,31.6
1158.24476,31.65
1146.604448,31.7
1137.292808,31.75
1128.987008,31.8
1116.493256,31.85
1102.963184,31.9
1093.965488,31.95
1082.50196,32
1069.551008,32.05
1058.581256,32.1
1048.705736,32.15
1036.419248,32.2
1025.614088,32.25
1013.92196,32.3
1003.836128,32.35
990.647432,32.4
984.728216,32.45
972.066824,32.5
964.014008,32.55
953.425256,32.6
942.513416,32.65
931.958192,32.7
922.414904,32.75
911.365904,32.8
901.188632,32.85
890.849816,32.9
881.727152,32.95
871.379192,33
861.515864,33.05
851.064272,33.1
840.999776,33.15
832.943912,33.2
821.13596,33.25
809.739488,33.3
799.40372,33.35
789.915296,33.4
776.351696,33.45
766.351208,33.5
754.817576,33.55
743.39672,33.6
731.454656,33.65
721.777256,33.7
710.746544,33.75
701.309936,33.8
691.202768,33.85
681.287624,33.9
667.86728,33.95
655.791104,34
649.420784,34.05
639.938456,34.1
628.935176,34.15
619.64792,34.2
611.363456,34.25
598.031504,34.3
589.436144,34.35
579.024176,34.4
571.42856,34.45
561.693248,34.5
550.126088,34.55
539.40932,34.6
529.250336,34.65
519.53636,34.7
507.499808,34.75
500.309576,34.8
490.53464,34.85
479.421632,34.9
470.286776,34.95
459.32312,35
449.209856,35.05
439.654376,35.1
428.47736,35.15
415.389248,35.2
406.504328,35.25
395.616872,35.3
386.052248,35.35
377.182568,35.4
367.160744,35.45
356.824976,35.5
345.75464,35.55
332.142272,35.6
321.251768,35.65
314.613224,35.7
306.00872,35.75
295.346816,35.8
284.136272,35.85
273.337208,35.9
262.748456,35.95
255.616136,36
246.743408,36.05
236.352776,36.1
228.769352,36.15
217.22048,36.2
207.369344,36.25
196.561136,36.3
188.404688,36.35
179.19668,36.4
169.757024,36.45
156.35192,36.5
148.189376,36.55
139.83176,36.6
128.999168,36.65
121.309064,36.7
110.887952,36.75
100.235192,36.8
89.030744,36.85
78.362744,36.9
68.971856,36.95
59.023184,37
47.160368,37.05
35.477384,37.1
25.275728,37.15
14.921672,37.2
4.808408,37.25
