{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10130018626945175, 'apogeeAltitude': 800.0505732166873, 'apogeeX': 1.012302690751081, 'apogeeY': 1.0094296189053116, 'impactTime': 46.5128232988329, 'impactX': 290.53070902694856, 'impactY': -102.99022537065368, 'impactVelocity': -17.738031891251136, 'initialStaticMargin': 2.9243203789361902, 'outOfRailStaticMargin': 2.9243203789361902, 'finalStaticMargin': 2.924320378943833, 'numberOfEvents': 1, 'executionTime': 0.140625, 'maxVelocity': 19.751491449727876, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 1.4022994993041142, 'drogueInflatedVelocity': 18.17650463545513}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10122701113376739, 'apogeeAltitude': 800.0505296160368, 'apogeeX': 1.0115466623131653, 'apogeeY': 1.008573791886646, 'impactTime': 43.429173575034724, 'impactX': 270.70780689122716, 'impactY': -85.93570994896858, 'impactVelocity': -18.023267716143607, 'initialStaticMargin': 2.4780077937010847, 'outOfRailStaticMargin': 2.4780077937010847, 'finalStaticMargin': 2.4780077937077922, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 30.28958378665473, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 3.180314405592745, 'drogueInflatedVelocity': 30.28958378665473}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10125013581264218, 'apogeeAltitude': 800.0505447108474, 'apogeeX': 1.0117823506923158, 'apogeeY': 1.0088277433721482, 'impactTime': 39.287728428027975, 'impactX': 251.99619549672116, 'impactY': -60.40934541590232, 'impactVelocity': -20.04774804276286, 'initialStaticMargin': 2.6040057879371488, 'outOfRailStaticMargin': 2.6040057879371488, 'finalStaticMargin': 2.604005787943781, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 31.546942994333495, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 3.3195814955585097, 'drogueInflatedVelocity': 31.546942994333495}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10125855615673063, 'apogeeAltitude': 800.0505464012333, 'apogeeX': 1.011881507177619, 'apogeeY': 1.0089883425489672, 'impactTime': 46.65318581071169, 'impactX': 293.09803595666864, 'impactY': -101.629674297074, 'impactVelocity': -17.959817690177477, 'initialStaticMargin': 2.5924901291051166, 'outOfRailStaticMargin': 2.5924901291051166, 'finalStaticMargin': 2.592490129111969, 'numberOfEvents': 1, 'executionTime': 0.140625, 'maxVelocity': 19.949297202701192, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 0.9528774422073127, 'drogueInflatedVelocity': 15.855872050471714}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10136113868299221, 'apogeeAltitude': 800.0506084304586, 'apogeeX': 1.0129225047287915, 'apogeeY': 1.0100917308461106, 'impactTime': 47.27012216980483, 'impactX': 288.7648785780483, 'impactY': -104.01277313569119, 'impactVelocity': -16.404984952820357, 'initialStaticMargin': 3.113987819350927, 'outOfRailStaticMargin': 3.113987819350927, 'finalStaticMargin': 3.1139878193579262, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 30.937579727436784, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 3.2050778143629555, 'drogueInflatedVelocity': 30.937579727436784}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10128260106527835, 'apogeeAltitude': 800.050566094028, 'apogeeX': 1.0121138190793704, 'apogeeY': 1.0091872456112465, 'impactTime': 45.589782077646205, 'impactX': 285.09383726722274, 'impactY': -98.91844649759477, 'impactVelocity': -17.95806583001902, 'initialStaticMargin': 2.8910387303497904, 'outOfRailStaticMargin': 2.8910387303497904, 'finalStaticMargin': 2.8910387303567706, 'numberOfEvents': 1, 'executionTime': 0.140625, 'maxVelocity': 20.00327644013769, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 1.7064144511208277, 'drogueInflatedVelocity': 20.00327644013769}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10132606566313085, 'apogeeAltitude': 800.0505910027146, 'apogeeX': 1.0125793193394315, 'apogeeY': 1.0097795618874987, 'impactTime': 44.14001741849624, 'impactX': 279.3292421669849, 'impactY': -88.87956822040044, 'impactVelocity': -18.73426711901374, 'initialStaticMargin': 3.2855693546455416, 'outOfRailStaticMargin': 3.2855693546455416, 'finalStaticMargin': 3.2855693546524694, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 20.627830747982895, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 1.5509652499799627, 'drogueInflatedVelocity': 19.08000267777197}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10127291728987498, 'apogeeAltitude': 800.0505628660194, 'apogeeX': 1.0120426446133894, 'apogeeY': 1.0092215473108852, 'impactTime': 41.544937436822586, 'impactX': 265.820077389622, 'impactY': -74.98731907401903, 'impactVelocity': -19.734831566068504, 'initialStaticMargin': 3.1653941416151214, 'outOfRailStaticMargin': 3.1653941416151214, 'finalStaticMargin': 3.1653941416222615, 'numberOfEvents': 1, 'executionTime': 0.171875, 'maxVelocity': 22.234739715101117, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 2.042799331252812, 'drogueInflatedVelocity': 22.234739715101117}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10129833265253296, 'apogeeAltitude': 800.0505800994633, 'apogeeX': 1.012286719135598, 'apogeeY': 1.0094242182403848, 'impactTime': 45.12859104291337, 'impactX': 285.8210412679396, 'impactY': -92.49899830590954, 'impactVelocity': -18.584052329200205, 'initialStaticMargin': 3.3022926956955763, 'outOfRailStaticMargin': 3.3022926956955763, 'finalStaticMargin': 3.302292695702604, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 20.493366584270245, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 1.0716446807383013, 'drogueInflatedVelocity': 16.408358558273815}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.1012487711203931, 'apogeeAltitude': 800.0505486956333, 'apogeeX': 1.0117926947598486, 'apogeeY': 1.008936705056096, 'impactTime': 45.207855977393955, 'impactX': 278.98568862502987, 'impactY': -93.4973618673735, 'impactVelocity': -17.194628932974858, 'initialStaticMargin': 3.0048089197132706, 'outOfRailStaticMargin': 3.0048089197132706, 'finalStaticMargin': 3.0048089197201664, 'numberOfEvents': 1, 'executionTime': 0.171875, 'maxVelocity': 31.15293571813908, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 3.243095525062175, 'drogueInflatedVelocity': 31.15293571813908}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10126731456515559, 'apogeeAltitude': 800.0505568889198, 'apogeeX': 1.011980395668141, 'apogeeY': 1.0091337158867768, 'impactTime': 41.1909334099639, 'impactX': 260.0748541033615, 'impactY': -69.88481112610752, 'impactVelocity': -18.854452787165364, 'initialStaticMargin': 2.968075374073589, 'outOfRailStaticMargin': 2.968075374073589, 'finalStaticMargin': 2.968075374080382, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 33.263782469299734, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 3.4882018968892017, 'drogueInflatedVelocity': 33.263782469299734}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10129423976566618, 'apogeeAltitude': 800.0505743075094, 'apogeeX': 1.0122585619469076, 'apogeeY': 1.0094485293725421, 'impactTime': 42.927960466454074, 'impactX': 269.9362709317842, 'impactY': -82.80130075021495, 'impactVelocity': -18.551325976819008, 'initialStaticMargin': 3.176689791337191, 'outOfRailStaticMargin': 3.176689791337191, 'finalStaticMargin': 3.1766897913436996, 'numberOfEvents': 1, 'executionTime': 0.171875, 'maxVelocity': 27.222956686072866, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 2.745761628413008, 'drogueInflatedVelocity': 27.222956686072866}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10130547003097369, 'apogeeAltitude': 800.0505799638311, 'apogeeX': 1.0123505032315374, 'apogeeY': 1.0094567911321304, 'impactTime': 45.46864359538183, 'impactX': 280.7338408491402, 'impactY': -95.77704864994294, 'impactVelocity': -17.216091912011525, 'initialStaticMargin': 3.019011356114712, 'outOfRailStaticMargin': 3.019011356114712, 'finalStaticMargin': 3.019011356122002, 'numberOfEvents': 1, 'executionTime': 0.1875, 'maxVelocity': 29.576054234786607, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 3.0524049163331326, 'drogueInflatedVelocity': 29.576054234786607}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.1012622527440394, 'apogeeAltitude': 800.0505586163124, 'apogeeX': 1.0119155733585783, 'apogeeY': 1.009010528447484, 'impactTime': 43.54266878306242, 'impactX': 273.0574943597124, 'impactY': -87.50730357861606, 'impactVelocity': -18.37385597212604, 'initialStaticMargin': 2.97242760870711, 'outOfRailStaticMargin': 2.97242760870711, 'finalStaticMargin': 2.972427608714246, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 25.835863484449288, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 2.5694967448037738, 'drogueInflatedVelocity': 25.835863484449288}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.1013297829978087, 'apogeeAltitude': 800.0505887819636, 'apogeeX': 1.0125962516232665, 'apogeeY': 1.0097132874868895, 'impactTime': 42.068588073413906, 'impactX': 270.54492980425863, 'impactY': -75.27821779805427, 'impactVelocity': -19.870629543722725, 'initialStaticMargin': 2.8812929556692795, 'outOfRailStaticMargin': 2.8812929556692795, 'finalStaticMargin': 2.8812929556762836, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 21.635737428067245, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 1.4648403270197283, 'drogueInflatedVelocity': 18.53697786234777}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10116892984095603, 'apogeeAltitude': 800.0504965269488, 'apogeeX': 1.0109886712840561, 'apogeeY': 1.0081095765458448, 'impactTime': 42.79749646124742, 'impactX': 269.28549754149003, 'impactY': -85.00771758196909, 'impactVelocity': -18.722369500947586, 'initialStaticMargin': 2.449066180547031, 'outOfRailStaticMargin': 2.449066180547031, 'finalStaticMargin': 2.4490661805535043, 'numberOfEvents': 1, 'executionTime': 0.140625, 'maxVelocity': 25.748397702266047, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 2.5631676364558387, 'drogueInflatedVelocity': 25.748397702266047}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10129472895901262, 'apogeeAltitude': 800.0505752304309, 'apogeeX': 1.012278004737, 'apogeeY': 1.0095277804257314, 'impactTime': 41.80279960079482, 'impactX': 270.861827695565, 'impactY': -70.89420886874863, 'impactVelocity': -20.24621528537834, 'initialStaticMargin': 3.4067797703886953, 'outOfRailStaticMargin': 3.4067797703886953, 'finalStaticMargin': 3.406779770395939, 'numberOfEvents': 1, 'executionTime': 0.140625, 'maxVelocity': 21.96702691876453, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 1.1838641710277695, 'drogueInflatedVelocity': 17.001034082113108}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10126798714484603, 'apogeeAltitude': 800.050551612763, 'apogeeX': 1.0119733322087074, 'apogeeY': 1.009069958382686, 'impactTime': 42.00512273181609, 'impactX': 261.74999915846337, 'impactY': -74.04824976586553, 'impactVelocity': -18.02432287791204, 'initialStaticMargin': 2.6078445330762072, 'outOfRailStaticMargin': 2.6078445330762072, 'finalStaticMargin': 2.6078445330833246, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 37.47391176904559, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 3.999493404585099, 'drogueInflatedVelocity': 37.47391176904559}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10131247171050217, 'apogeeAltitude': 800.050585476378, 'apogeeX': 1.0124324592029463, 'apogeeY': 1.0095878308640296, 'impactTime': 42.29150668400064, 'impactX': 271.2091533716617, 'impactY': -77.10394793754001, 'impactVelocity': -19.69072356502652, 'initialStaticMargin': 3.3100901127668094, 'outOfRailStaticMargin': 3.3100901127668094, 'finalStaticMargin': 3.310090112774068, 'numberOfEvents': 1, 'executionTime': 0.125, 'maxVelocity': 21.47431047371936, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 1.543598149202762, 'drogueInflatedVelocity': 19.020661290660733}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10130463232149814, 'apogeeAltitude': 800.0505783032986, 'apogeeX': 1.0123626292090175, 'apogeeY': 1.0095531774887263, 'impactTime': 45.76339002481521, 'impactX': 285.74755411718843, 'impactY': -99.74334876101229, 'impactVelocity': -17.848917031008046, 'initialStaticMargin': 3.165379200444763, 'outOfRailStaticMargin': 3.165379200444763, 'finalStaticMargin': 3.1653792004518584, 'numberOfEvents': 1, 'executionTime': 0.15625, 'maxVelocity': 20.399608866416596, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 1.7620598588018455, 'drogueInflatedVelocity': 20.399608866416596}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.1013002212126305, 'apogeeAltitude': 800.0505769535623, 'apogeeX': 1.0123088646881686, 'apogeeY': 1.0094597427430483, 'impactTime': 49.29966171077734, 'impactX': 301.0794136354996, 'impactY': -120.26403551208556, 'impactVelocity': -16.29001629493757, 'initialStaticMargin': 3.1155534670254776, 'outOfRailStaticMargin': 3.1155534670254776, 'finalStaticMargin': 3.115553467032826, 'numberOfEvents': 1, 'executionTime': 0.140625, 'maxVelocity': 22.180356129934808, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 2.037289190701594, 'drogueInflatedVelocity': 22.180356129934808}
{'out_of_rail_time': 0.0, 'outOfRailVelocity': 0, 'apogeeTime': 0.10126446870103498, 'apogeeAltitude': 800.0505553322998, 'apogeeX': 1.0119392058686825, 'apogeeY': 1.009040204894762, 'impactTime': 43.91796125341989, 'impactX': 280.00271216218596, 'impactY': -85.4180818723236, 'impactVelocity': -19.10928878431823, 'initialStaticMargin': 2.874847715933294, 'outOfRailStaticMargin': 2.874847715933294, 'finalStaticMargin': 2.8748477159401644, 'numberOfEvents': 1, 'executionTime': 0.171875, 'maxVelocity': 20.958085996121394, 'drogue_triggerTime': 0.10476190476190478, 'drogueInflatedTime': 1.1696100701394816, 'drogueInflatedVelocity': 16.892501718226846}
