ts,altitude[m],velocity[m/s],latitude,longitude
26.5,2740,-21,39.3841,-8.2913
26.7,2734,-22,39.3841,-8.2913
26.9,2728,-23,39.3841,-8.2913
27.0,2726,-23,39.3841,-8.2913
27.1,2723,-24,39.3841,-8.2913
27.4,2713,-26,39.3841,-8.2913
27.6,2705,-28,39.3841,-8.2913
28.0,2690,-32,39.3841,-8.2913
28.2,2681,-34,39.3841,-8.2913
28.3,2677,-34,39.3841,-8.2913
28.5,2669,-35,39.3841,-8.2913
28.6,2665,-36,39.3841,-8.2913
28.7,2660,-37,39.3841,-8.2913
28.8,2656,-38,39.3841,-8.2913
29.0,2647,-39,39.3841,-8.2913
29.1,2642,-40,39.3841,-8.2913
29.4,2626,-43,39.3841,-8.2913
29.5,2621,-44,39.3841,-8.2913
29.7,2611,-45,39.3841,-8.2913
30.2,2583,-49,39.3841,-8.2913
30.3,2579,-48,39.3841,-8.2913
30.4,2574,-49,39.3841,-8.2913
30.5,2568,-49,39.3841,-8.2913
30.6,2563,-50,39.3841,-8.2913
30.7,2557,-50,39.3841,-8.2913
31.0,2540,-52,39.3841,-8.2913
31.1,2534,-53,39.3841,-8.2913
31.2,2528,-54,39.3841,-8.2913
31.3,2522,-54,39.3841,-8.2913
31.4,2517,-54,39.3841,-8.2913
31.6,2506,-54,39.3841,-8.2913
32.3,2458,-62,39.3841,-8.2913
32.4,2450,-63,39.3841,-8.2913
32.7,2429,-65,39.3828,-8.29
32.8,2422,-66,39.3828,-8.29
32.9,2415,-66,39.3828,-8.29
33.0,2408,-67,39.3828,-8.29
33.1,2400,-67,39.3828,-8.29
33.3,2386,-68,39.3828,-8.2899
33.6,2368,-66,39.3828,-8.2899
33.7,2360,-67,39.3828,-8.2899
33.8,2353,-67,39.3828,-8.2899
34.2,2324,-69,39.3828,-8.2898
34.4,2309,-70,39.3828,-8.2897
34.5,2302,-70,39.3828,-8.2897
34.6,2294,-71,39.3828,-8.2897
34.7,2287,-71,39.3828,-8.2897
35.0,2265,-72,39.3828,-8.2896
35.1,2257,-72,39.3828,-8.2896
35.3,2243,-72,39.3828,-8.2895
35.4,2235,-72,39.3828,-8.2895
35.6,2220,-73,39.3828,-8.2895
35.7,2213,-73,39.3828,-8.2894
36.0,2191,-73,39.3828,-8.2894
36.2,2176,-73,39.3827,-8.2893
36.3,2168,-73,39.3827,-8.2893
36.4,2161,-73,39.3827,-8.2893
36.5,2154,-73,39.3827,-8.2893
36.7,2138,-74,39.3827,-8.2893
36.9,2123,-74,39.3827,-8.2892
37.0,2115,-74,39.3827,-8.2892
37.3,2093,-74,39.3827,-8.2891
37.4,2085,-75,39.3827,-8.2891
37.6,2070,-75,39.3827,-8.2891
37.7,2062,-75,39.3827,-8.289
37.8,2055,-75,39.3827,-8.289
37.9,2047,-75,39.3827,-8.289
38.2,2026,-74,39.3827,-8.2889
38.3,2018,-74,39.3827,-8.2888
38.6,1996,-74,39.3828,-8.2888
38.7,1989,-73,39.3827,-8.2888
38.8,1983,-72,39.3827,-8.2888
39.2,1957,-70,39.3827,-8.2887
39.4,1946,-67,39.3828,-8.2886
39.6,1938,-62,39.3828,-8.2886
39.7,1934,-59,39.3827,-8.2885
39.8,1931,-57,39.3827,-8.2885
39.9,1928,-54,39.3828,-8.2885
40.0,1925,-51,39.3828,-8.2885
40.3,1915,-46,39.3828,-8.2884
40.5,1909,-43,39.3828,-8.2883
40.6,1906,-42,39.3828,-8.2883
40.7,1902,-42,39.3828,-8.2883
40.8,1894,-45,39.3828,-8.2883
40.9,1885,-50,39.3828,-8.2882
41.0,1875,-55,39.3828,-8.2882
41.1,1864,-60,39.3828,-8.2882
41.3,1843,-68,39.3828,-8.2882
41.4,1835,-69,39.3828,-8.2882
41.6,1816,-74,39.3828,-8.2881
41.7,1806,-77,39.3828,-8.2881
42.0,1778,-82,39.3828,-8.288
42.2,1759,-84,39.3829,-8.288
42.3,1751,-83,39.3829,-8.288
42.4,1742,-84,39.3829,-8.288
42.5,1734,-83,39.3829,-8.2879
42.6,1728,-81,39.3829,-8.2879
43.0,1705,-73,39.3829,-8.2879
43.1,1696,-74,39.383,-8.2878
43.2,1687,-76,39.383,-8.2878
43.3,1679,-77,39.383,-8.2878
43.4,1671,-77,39.383,-8.2878
43.7,1647,-77,39.383,-8.2877
43.8,1639,-78,39.383,-8.2877
43.9,1632,-77,39.383,-8.2877
44.0,1624,-77,39.383,-8.2877
44.1,1616,-78,39.383,-8.2877
44.2,1608,-78,39.383,-8.2877
44.4,1592,-78,39.383,-8.2877
44.5,1585,-77,39.3831,-8.2876
44.6,1578,-76,39.3831,-8.2876
44.7,1571,-76,39.3831,-8.2876
44.8,1564,-76,39.3831,-8.2876
44.9,1557,-75,39.3831,-8.2875
45.2,1537,-73,39.3831,-8.2874
45.3,1530,-72,39.3831,-8.2874
45.4,1522,-72,39.3831,-8.2874
45.6,1508,-72,39.3832,-8.2873
45.7,1500,-73,39.3832,-8.2873
46.0,1476,-75,39.3832,-8.2873
46.1,1468,-75,39.3832,-8.2873
46.2,1460,-75,39.3832,-8.2873
46.3,1452,-75,39.3832,-8.2872
46.4,1445,-75,39.3832,-8.2872
46.5,1437,-75,39.3832,-8.2871
46.7,1422,-75,39.3833,-8.2871
46.8,1414,-76,39.3833,-8.2871
46.9,1407,-75,39.3833,-8.2871
47.1,1392,-75,39.3833,-8.287
47.2,1385,-75,39.3833,-8.287
47.3,1378,-74,39.3833,-8.287
47.4,1371,-74,39.3833,-8.287
47.7,1348,-74,39.3833,-8.2869
47.8,1340,-75,39.3833,-8.2869
47.9,1332,-75,39.3834,-8.2869
48.0,1324,-76,39.3834,-8.2869
48.2,1309,-76,39.3834,-8.2868
48.3,1301,-76,39.3834,-8.2868
48.5,1286,-76,39.3834,-8.2868
48.6,1278,-76,39.3834,-8.2868
48.7,1270,-77,39.3834,-8.2867
48.9,1255,-76,39.3835,-8.2867
49.1,1241,-74,39.3835,-8.2867
49.3,1227,-73,39.3835,-8.2866
49.4,1220,-73,39.3835,-8.2866
49.6,1205,-74,39.3835,-8.2866
49.7,1197,-75,39.3835,-8.2865
49.8,1189,-75,39.3835,-8.2865
50.2,1158,-76,39.3835,-8.2865
50.3,1150,-76,39.3836,-8.2864
50.5,1134,-76,39.3836,-8.2864
50.6,1126,-76,39.3836,-8.2864
50.7,1119,-76,39.3836,-8.2863
50.9,1104,-75,39.3836,-8.2863
51.1,1090,-74,39.3836,-8.2863
51.2,1083,-74,39.3836,-8.2863
51.3,1076,-73,39.3837,-8.2862
51.4,1069,-73,39.3837,-8.2862
51.5,1061,-74,39.3837,-8.2862
51.6,1053,-74,39.3837,-8.2862
51.7,1045,-75,39.3837,-8.2862
52.0,1022,-75,39.3837,-8.2861
52.2,1007,-76,39.3837,-8.2861
52.3,999,-76,39.3837,-8.2861
52.4,991,-76,39.3837,-8.2861
52.5,984,-76,39.3838,-8.286
52.7,969,-75,39.3838,-8.286
52.8,962,-75,39.3838,-8.286
52.9,955,-74,39.3838,-8.2859
53.0,947,-74,39.3838,-8.2859
53.1,940,-74,39.3838,-8.2859
53.4,918,-73,39.3838,-8.2859
53.5,911,-73,39.3838,-8.2859
53.6,904,-73,39.3838,-8.2859
53.7,896,-73,39.3839,-8.2858
53.8,888,-74,39.3839,-8.2858
53.9,880,-75,39.3839,-8.2857
54.0,872,-75,39.3839,-8.2857
54.3,849,-76,39.384,-8.2857
54.4,841,-76,39.384,-8.2857
54.5,833,-76,39.384,-8.2856
54.6,825,-76,39.384,-8.2856
54.9,803,-76,39.384,-8.2856
55.3,773,-75,39.3841,-8.2855
55.4,766,-75,39.3841,-8.2855
55.6,751,-75,39.3841,-8.2855
55.7,743,-75,39.3841,-8.2854
55.8,736,-75,39.3841,-8.2854
56.0,721,-75,39.3841,-8.2854
56.2,705,-75,39.3841,-8.2854
56.3,698,-75,39.3841,-8.2853
56.4,690,-75,39.3841,-8.2853
56.5,682,-75,39.3842,-8.2853
56.8,660,-75,39.3842,-8.2853
56.9,653,-75,39.3842,-8.2853
57.0,645,-75,39.3842,-8.2852
57.1,638,-74,39.3842,-8.2852
57.2,631,-74,39.3842,-8.2852
57.3,624,-74,39.3842,-8.2852
57.5,609,-74,39.3843,-8.2851
57.6,601,-74,39.3843,-8.2851
57.7,593,-75,39.3843,-8.2851
57.8,585,-75,39.3843,-8.2851
57.9,578,-75,39.3843,-8.2851
58.0,570,-75,39.3843,-8.2851
58.2,555,-75,39.3843,-8.2851
58.3,547,-75,39.3843,-8.285
58.4,540,-75,39.3843,-8.285
58.5,533,-74,39.3843,-8.285
58.6,526,-74,39.3843,-8.285
58.7,519,-74,39.3844,-8.285
58.9,504,-73,39.3844,-8.285
59.0,497,-73,39.3844,-8.2849
59.1,490,-73,39.3844,-8.2849
59.3,475,-73,39.3844,-8.2849
59.4,467,-74,39.3844,-8.2849
59.6,452,-74,39.3844,-8.2848
59.7,444,-75,39.3844,-8.2848
59.8,436,-75,39.3844,-8.2848
59.9,428,-75,39.3845,-8.2848
60.0,421,-75,39.3845,-8.2848
60.2,406,-75,39.3845,-8.2848
60.5,384,-74,39.3845,-8.2847
60.6,377,-74,39.3845,-8.2847
60.7,370,-74,39.3845,-8.2847
60.8,363,-73,39.3845,-8.2847
60.9,355,-73,39.3845,-8.2847
61.0,348,-73,39.3845,-8.2846
61.1,341,-73,39.3846,-8.2846
61.3,326,-73,39.3845,-8.2846
61.4,318,-74,39.3845,-8.2846
61.5,310,-74,39.3845,-8.2845
61.6,303,-74,39.3845,-8.2845
61.7,295,-74,39.3846,-8.2845
61.9,280,-74,39.3846,-8.2845
62.0,273,-74,39.3846,-8.2845
62.2,257,-75,39.3846,-8.2845
62.3,250,-74,39.3846,-8.2844
62.4,243,-74,39.3846,-8.2844
62.6,229,-73,39.3846,-8.2844
62.9,208,-73,39.3846,-8.2844
63.0,200,-73,39.3846,-8.2844
63.1,193,-73,39.3846,-8.2844
63.3,177,-74,39.3846,-8.2844
63.4,170,-74,39.3846,-8.2844
63.5,163,-73,39.3846,-8.2844
63.8,140,-73,39.3847,-8.2843
63.9,133,-73,39.3847,-8.2843
64.0,126,-73,39.3847,-8.2843
64.1,118,-73,39.3847,-8.2843
64.2,111,-73,39.3847,-8.2843
64.3,104,-73,39.3848,-8.2843
64.4,97,-73,39.3848,-8.2843
64.6,83,-72,39.3848,-8.2843
64.9,61,-72,39.3849,-8.2843
65.0,54,-71,39.3849,-8.2843
65.1,47,-72,39.3849,-8.2843
65.3,32,-72,39.3849,-8.2843
