t(s),alt(ft),vz(ft/s),alt(m),vz(m/s)
8.2,5834.25,638.75,1778.2794,194.691
8.25,5869.2,699,1788.93216,213.0552
8.3,5901.96,655.21,1798.917408,199.708008
8.35,5934.97,660.16,1808.978856,201.216768
8.4,5965.77,616.13,1818.366696,187.796424
8.45,5998.22,648.91,1828.257456,197.787768
8.5,6032.98,695.12,1838.852304,211.872576
8.55,6063.98,620.1,1848.301104,189.00648
8.6,6095.98,640.08,1858.054704,195.096384
8.65,6128.79,656.06,1868.055192,199.967088
8.7,6162.63,676.85,1878.369624,206.30388
8.75,6194.7,641.48,1888.14456,195.523104
8.8,6226.76,641.18,1897.916448,195.431664
8.85,6256.61,596.94,1907.014728,181.947312
8.9,6289.29,653.55,1916.975592,199.20204
8.95,6320.03,614.84,1926.345144,187.403232
9,6353.42,667.88,1936.522416,203.569824
9.05,6385.34,638.3,1946.251632,194.55384
9.1,6417.67,646.64,1956.105816,197.095872
9.15,6446.94,585.31,1965.027312,178.402488
9.2,6478.35,628.25,1974.60108,191.4906
9.25,6508.08,594.6,1983.662784,181.23408
9.3,6538.46,607.69,1992.922608,185.223912
9.35,6571.77,666.14,2003.075496,203.039472
9.4,6604.22,648.92,2012.966256,197.790816
9.45,6634.77,611.13,2022.277896,186.272424
9.5,6662.22,548.91,2030.644656,167.307768
9.55,6689.17,539.12,2038.859016,164.323776
9.6,6720.34,623.3,2048.359632,189.98184
9.65,6749.87,590.64,2057.360376,180.027072
9.7,6780.9,620.51,2066.81832,189.131448
9.75,6808.32,548.41,2075.175936,167.155368
9.8,6840.05,634.73,2084.84724,193.465704
9.85,6870.44,607.78,2094.110112,185.251344
9.9,6900.15,594.23,2103.16572,181.121304
9.95,6928.12,559.38,2111.690976,170.499024
10,6959.5,627.5,2121.2556,191.262
10.05,6978.4,378.01,2127.01632,115.217448
10.1,7001.72,466.41,2134.124256,142.161768
10.15,7026.38,493.13,2141.640624,150.306024
10.2,7053.7,546.49,2149.96776,166.570152
10.25,7076.16,449.2,2156.813568,136.91616
10.3,7101.53,507.35,2164.546344,154.64028
10.35,7132.02,609.88,2173.839696,185.891424
10.4,7163.42,627.91,2183.410416,191.386968
10.45,7191.53,562.32,2191.978344,171.395136
10.5,7220.83,585.86,2200.908984,178.570128
10.55,7253.26,648.69,2210.793648,197.720712
10.6,7287.21,678.96,2221.141608,206.947008
10.65,7312.17,499.16,2228.749416,152.143968
10.7,7333.33,423.33,2235.198984,129.030984
10.75,7356.27,458.66,2242.191096,139.799568
10.8,7381.01,494.93,2249.731848,150.854664
10.85,7402.41,427.95,2256.254568,130.43916
10.9,7430.33,558.36,2264.764584,170.188128
10.95,7458.46,562.69,2273.338608,171.507912
11,7485.77,546.14,2281.662696,166.463472
11.05,7512.62,536.91,2289.846576,163.650168
11.1,7536.09,469.53,2297.000232,143.112744
11.15,7565.87,595.62,2306.077176,181.544976
11.2,7590.3,488.51,2313.52344,148.897848
11.25,7616.84,530.8,2321.612832,161.78784
11.3,7644.67,556.64,2330.095416,169.663872
11.35,7671.54,537.31,2338.285392,163.772088
11.4,7697.43,517.85,2346.176664,157.84068
11.45,7722.94,510.28,2353.952112,155.533344
11.5,7746.96,480.22,2361.273408,146.371056
11.55,7771.96,500.18,2368.893408,152.454864
11.6,7798.77,536.14,2377.065096,163.415472
11.65,7825.02,524.91,2385.066096,159.992568
11.7,7847.01,439.93,2391.768648,134.090664
11.75,7867.61,411.94,2398.047528,125.559312
11.8,7893.69,521.56,2405.996712,158.971488
11.85,7920.75,541.25,2414.2446,164.973
11.9,7944.8,481,2421.57504,146.6088
11.95,7971.84,540.8,2429.816832,164.83584
12,7994.87,460.63,2436.836376,140.400024
12.05,8023.3,568.51,2445.50184,173.281848
12.1,8046.84,470.81,2452.676832,143.502888
12.15,8073.27,528.64,2460.732696,161.129472
12.2,8094.42,422.92,2467.179216,128.906016
12.25,8121.33,538.33,2475.381384,164.082984
12.3,8146.07,494.67,2482.922136,150.775416
12.35,8170.85,495.73,2490.47508,151.098504
12.4,8192.68,436.59,2497.128864,133.072632
12.45,8219.15,529.28,2505.19692,161.324544
12.5,8241.92,455.41,2512.137216,138.808968
12.55,8267.13,504.34,2519.821224,153.722832
12.6,8285.31,363.46,2525.362488,110.782608
12.65,8308.25,458.77,2532.3546,139.833096
12.7,8330.4,443.03,2539.10592,135.035544
12.75,8352.32,438.42,2545.787136,133.630416
12.8,8373.25,418.73,2552.1666,127.628904
12.85,8395,434.98,2558.796,132.581904
12.9,8418.2,463.98,2565.86736,141.421104
12.95,8441.16,459.2,2572.865568,139.96416
13,8462.53,427.34,2579.379144,130.253232
13.05,8484.22,433.89,2585.990256,132.249672
13.1,8506.38,443.11,2592.744624,135.059928
13.15,8524.7,366.48,2598.32856,111.703104
13.2,8549.76,501.19,2605.966848,152.762712
13.25,8569.01,384.94,2611.834248,117.329712
13.3,8592.21,463.96,2618.905608,141.415008
13.35,8611.37,383.16,2624.745576,116.787168
13.4,8632.69,426.54,2631.243912,130.009392
13.45,8653.15,409.22,2637.48012,124.730256
13.5,8673.52,407.38,2643.688896,124.169424
13.55,8693.02,389.9,2649.632496,118.84152
13.6,8716.21,463.93,2656.700808,141.405864
13.65,8737.37,423.14,2663.150376,128.973072
13.7,8756.7,386.5,2669.04216,117.8052
13.75,8777.56,417.21,2675.400288,127.165608
13.8,8797.05,389.77,2681.34084,118.801896
13.85,8818.64,431.82,2687.921472,131.618736
13.9,8841.91,465.45,2695.014168,141.86916
13.95,8862.73,416.37,2701.360104,126.909576
14,8881.18,369.08,2706.983664,112.495584
14.05,8901.15,399.28,2713.07052,121.700544
14.1,8921.52,407.42,2719.279296,124.181616
14.15,8941.21,393.93,2725.280808,120.069864
14.2,8961.57,407.15,2731.486536,124.09932
14.25,8978.66,341.72,2736.695568,104.156256
14.3,8996.33,353.38,2742.081384,107.710224
14.35,9014.06,354.71,2747.485488,108.115608
14.4,9035.85,435.76,2754.12708,132.819648
14.45,9058.48,452.6,2761.024704,137.95248
14.5,9079.78,426.09,2767.516944,129.872232
14.55,9097.03,344.86,2772.774744,105.113328
14.6,9123.22,523.89,2780.757456,159.681672
14.65,9142.58,387.11,2786.658384,117.991128
14.7,9170.26,553.69,2795.095248,168.764712
14.75,9188.61,366.95,2800.688328,111.84636
14.8,9210.09,429.57,2807.235432,130.932936
14.85,9224.67,291.66,2811.679416,88.897968
14.9,9242.34,353.32,2817.065232,107.691936
14.95,9257.27,298.65,2821.615896,91.02852
15,9275.81,370.92,2827.266888,113.056416
15.05,9291.25,308.75,2831.973,94.107
15.1,9310.4,382.99,2837.80992,116.735352
15.15,9325.12,294.39,2842.296576,89.730072
15.2,9342.9,355.51,2847.71592,108.359448
15.25,9358.92,320.41,2852.598816,97.660968
15.3,9375.73,336.33,2857.722504,102.513384
15.35,9394.59,377.07,2863.471032,114.930936
15.4,9412.87,365.64,2869.042776,111.447072
15.45,9427.9,300.53,2873.62392,91.601544
15.5,9443.12,304.41,2878.262976,92.784168
15.55,9464.29,423.54,2884.715592,129.094992
15.6,9481.83,350.82,2890.061784,106.929936
15.65,9496.87,300.66,2894.645976,91.641168
15.7,9511.49,292.54,2899.102152,89.166192
15.75,9529.79,366.02,2904.679992,111.562896
15.8,9546.24,328.83,2909.693952,100.227384
15.85,9564.79,371.05,2915.347992,113.09604
15.9,9582.83,360.84,2920.846584,109.984032
15.95,9599.46,332.68,2925.915408,101.400864
16,9613.37,278.14,2930.155176,84.777072
16.05,9629.9,330.51,2935.19352,100.739448
16.1,9645.32,308.42,2939.893536,94.006416
16.15,9663.05,354.73,2945.29764,108.121704
16.2,9680.24,343.79,2950.537152,104.787192
16.25,9699,375.02,2956.2552,114.306096
16.3,9717.2,364.02,2961.80256,110.953296
16.35,9732.36,303.22,2966.423328,92.421456
16.4,9746.89,290.57,2970.852072,88.565736
16.45,9759.31,248.46,2974.637688,75.730608
16.5,9778.05,374.77,2980.34964,114.229896
16.55,9792.24,283.81,2984.674752,86.505288
16.6,9805.79,271.05,2988.804792,82.61604
16.65,9820.23,288.85,2993.206104,88.04148
16.7,9835.99,315.08,2998.009752,96.036384
16.75,9850.79,296.05,3002.520792,90.23604
16.8,9869.23,368.85,3008.141304,112.42548
16.85,9884.79,311.07,3012.883992,94.814136
16.9,9899.03,284.86,3017.224344,86.825328
16.95,9928.02,579.88,3026.060496,176.747424
17,9937.42,187.91,3028.925616,57.274968
17.05,9955.33,358.32,3034.384584,109.215936
17.1,9965.87,210.66,3037.597176,64.209168
17.15,9980.89,300.53,3042.175272,91.601544
17.2,9990.92,200.43,3045.232416,61.091064
17.25,10004.93,280.33,3049.502664,85.444584
17.3,10018.75,276.27,3053.715,84.207096
17.35,10032.2,269.02,3057.81456,81.997296
17.4,10044.16,239.22,3061.459968,72.914256
17.45,10056.73,251.37,3065.291304,76.617576
17.5,10071.98,305.1,3069.939504,92.99448
17.55,10085.58,272.07,3074.084784,82.926936
17.6,10098.87,265.66,3078.135576,80.973168
17.65,10110.89,240.53,3081.799272,73.313544
17.7,10124.31,268.42,3085.889688,81.814416
17.75,10139.65,306.74,3090.56532,93.494352
17.8,10152.32,253.4,3094.427136,77.23632
17.85,10164.26,238.71,3098.066448,72.758808
17.9,10180.01,314.98,3102.867048,96.005904
17.95,10195.4,307.97,3107.55792,93.869256
18,10208.92,270.39,3111.678816,82.414872
18.05,10223.94,300.31,3116.256912,91.534488
18.1,10236.55,252.25,3120.10044,76.8858
18.15,10250.04,269.79,3124.212192,82.231992
18.2,10258.03,159.84,3126.647544,48.719232
18.25,10269.43,227.87,3130.122264,69.454776
18.3,10284.94,310.29,3134.849712,94.576392
18.35,10296.35,228.24,3138.32748,69.567552
18.4,10305.68,186.58,3141.171264,56.869584
18.45,10316.55,217.27,3144.48444,66.223896
18.5,10331.44,297.81,3149.022912,90.772488
18.55,10340.55,182.25,3151.79964,55.5498
18.6,10351.84,225.8,3155.240832,68.82384
18.65,10366.67,296.64,3159.761016,90.415872
18.7,10379.74,261.31,3163.744752,79.647288
18.75,10392.19,249.06,3167.539512,75.913488
18.8,10399.95,155.23,3169.90476,47.314104
18.85,10412.76,256.19,3173.809248,78.086712
18.9,10425.21,248.96,3177.604008,75.883008
18.95,10437.77,251.17,3181.432296,76.556616
19,10452.21,288.93,3185.833608,88.065864
19.05,10466.37,283.14,3190.149576,86.301072
19.1,10486.5,402.52,3196.2852,122.688096
19.15,10496.6,202.01,3199.36368,61.572648
19.2,10507.88,225.61,3202.801824,68.765928
19.25,10519.1,224.49,3206.22168,68.424552
19.3,10530.28,223.59,3209.629344,68.150232
19.35,10539.63,186.88,3212.479224,56.961024
19.4,10543.9,85.49,3213.78072,26.057352
19.45,10553.32,188.4,3216.651936,57.42432
19.5,10560.86,150.72,3218.950128,45.939456
19.55,10572.49,232.58,3222.494952,70.890384
19.6,10582.99,210.06,3225.695352,64.026288
19.65,10594.59,232.05,3229.231032,70.72884
19.7,10603.27,173.63,3231.876696,52.922424
19.75,10609.22,118.91,3233.690256,36.243768
19.8,10619.57,207.13,3236.844936,63.133224
19.85,10628.26,173.71,3239.493648,52.946808
19.9,10639.81,230.96,3243.014088,70.396608
19.95,10650.85,220.76,3246.37908,67.287648
20,10659.88,180.63,3249.131424,55.056024
20.05,10669.3,188.5,3252.00264,57.4548
20.1,10677.44,162.79,3254.483712,49.618392
20.15,10682.15,94.24,3255.91932,28.724352
20.2,10689.32,143.38,3258.104736,43.702224
20.25,10699.66,206.72,3261.256368,63.008256
20.3,10708.93,185.37,3264.081864,56.500776
20.35,10719.54,212.29,3267.315792,64.705992
20.4,10728.43,177.83,3270.025464,54.202584
20.45,10738.15,194.28,3272.98812,59.216544
20.5,10748.92,215.41,3276.270816,65.656968
20.55,10756.13,144.34,3278.468424,43.994832
20.6,10766.11,199.47,3281.510328,60.798456
20.65,10776.69,211.56,3284.735112,64.483488
20.7,10788.35,233.26,3288.28908,71.097648
20.75,10798.28,198.61,3291.315744,60.536328
20.8,10804.22,118.89,3293.126256,36.237672
20.85,10814.98,215.1,3296.405904,65.56248
20.9,10817.38,48.09,3297.137424,14.657832
20.95,10826.31,178.48,3299.859288,54.400704
21,10834.85,170.78,3302.46228,52.053744
21.05,10844.48,192.62,3305.397504,58.710576
21.1,10851.18,134.1,3307.439664,40.87368
21.15,10858.75,151.27,3309.747,46.107096
21.2,10865.4,133.03,3311.77392,40.547544
21.25,10869.12,74.41,3312.907776,22.680168
21.3,10878.89,195.53,3315.885672,59.597544
21.35,10887.92,180.43,3318.638016,54.995064
21.4,10893.73,116.35,3320.408904,35.46348
21.45,10904.79,221.07,3323.779992,67.382136
21.5,10915.83,220.86,3327.144984,67.318128
21.55,10921.86,120.68,3328.982928,36.783264
21.6,10929.49,152.54,3331.308552,46.494192
21.65,10935.59,122.03,3333.167832,37.194744
21.7,10943.27,153.63,3335.508696,46.826424
21.75,10953.42,202.91,3338.602416,61.846968
21.8,10960.74,146.33,3340.833552,44.601384
21.85,10966.99,125.06,3342.738552,38.118288
21.9,10972.19,104.04,3344.323512,31.711392
21.95,10980.35,163.24,3346.81068,49.755552
22,10986.08,114.59,3348.557184,34.927032
22.05,10991.47,107.68,3350.200056,32.820864
22.1,10997.57,122.13,3352.059336,37.225224
22.15,11004.66,141.72,3354.220368,43.196256
22.2,11011.93,145.37,3356.436264,44.308776
22.25,11015.74,76.29,3357.597552,23.253192
22.3,11025.39,193.03,3360.538872,58.835544
22.35,11034.51,182.42,3363.318648,55.601616
22.4,11043.21,173.95,3365.970408,53.01996
22.45,11048.77,111.15,3367.665096,33.87852
22.5,11053.21,88.93,3369.018408,27.105864
22.55,11059.97,135.14,3371.078856,41.190672
22.6,11065.78,116.11,3372.849744,35.390328
22.65,11071.02,104.88,3374.446896,31.967424
22.7,11077.02,119.92,3376.275696,36.551616
22.75,11083.81,135.94,3378.345288,41.434512
22.8,11082.85,-19.26,3378.05268,-5.870448
22.85,11087.28,88.59,3379.402944,27.002232
22.9,11090.62,66.87,3380.420976,20.381976
22.95,11094.7,81.5,3381.66456,24.8412
23,11099.76,101.19,3383.206848,30.842712
23.05,11104.01,84.96,3384.502248,25.895808
23.1,11110.41,127.97,3386.452968,39.005256
23.15,11113.92,70.37,3387.522816,21.448776
23.2,11118.54,92.3,3388.930992,28.13304
23.25,11128.23,193.85,3391.884504,59.08548
23.3,11130.19,39.06,3392.481912,11.905488
23.35,11135.35,103.26,3394.05468,31.473648
23.4,11142.68,146.6,3396.288864,44.68368
23.45,11144.74,41.29,3396.916752,12.585192
23.5,11148.39,73.03,3398.029272,22.259544
23.55,11152.32,78.42,3399.227136,23.902416
23.6,11157.85,110.74,3400.91268,33.753552
23.65,11159.48,32.6,3401.409504,9.93648
23.7,11163.79,86.07,3402.723192,26.234136
23.75,11165.83,40.86,3403.344984,12.454128
23.8,11173.26,148.69,3405.609648,45.320712
23.85,11176.61,66.95,3406.630728,20.40636
23.9,11173.89,-54.45,3405.801672,-16.59636
23.95,11180.71,136.45,3407.880408,41.58996
24,11181.97,25.16,3408.264456,7.668768
24.05,11184.37,48.13,3408.995976,14.670024
24.1,11189.9,110.51,3410.68152,33.683448
24.15,11195.92,120.39,3412.516416,36.694872
24.2,11201.14,104.32,3414.107472,31.796736
24.25,11206.11,99.45,3415.622328,30.31236
24.3,11209.29,63.57,3416.591592,19.376136
24.35,11210.43,22.85,3416.939064,6.96468
24.4,11211.74,26.29,3417.338352,8.013192
24.45,11214.79,61.02,3418.267992,18.598896
24.5,11217.24,48.83,3419.014752,14.883384
24.55,11222.59,107.05,3420.645432,32.62884
24.6,11224.67,41.64,3421.279416,12.691872
24.65,11226.14,29.32,3421.727472,8.936736
24.7,11228.91,55.45,3422.571768,16.90116
24.75,11233.73,96.37,3424.040904,29.373576
24.8,11236.58,57.09,3424.909584,17.401032
24.85,11241.67,101.68,3426.461016,30.992064
24.9,11244.53,57.34,3427.332744,17.477232
24.95,11244.43,-2.13,3427.302264,-0.649224
25,11243.54,-17.71,3427.030992,-5.398008
25.05,11243.43,-2.17,3426.997464,-0.661416
25.1,11244.95,30.27,3427.46076,9.226296
25.15,11246.76,36.21,3428.012448,11.036808
25.2,11252.41,112.97,3429.734568,34.433256
25.25,11255.32,58.38,3430.621536,17.794224
25.3,11253.46,-37.3,3430.054608,-11.36904
25.35,11254.97,30.16,3430.514856,9.192768
25.4,11255.57,12.13,3430.697736,3.697224
25.45,11259.46,77.71,3431.883408,23.686008
25.5,11259.17,-5.84,3431.795016,-1.780032
25.55,11262.73,71.33,3432.880104,21.741384
25.6,11263.39,13.07,3433.081272,3.983736
25.65,11264.11,14.45,3433.300728,4.40436
25.7,11264.29,3.55,3433.355592,1.08204
25.75,11263.23,-21.15,3433.032504,-6.44652
25.8,11262.38,-16.91,3432.773424,-5.154168
25.85,11262.11,-5.53,3432.691128,-1.685544
25.9,11263.89,35.57,3433.233672,10.841736
25.95,11261.71,-43.54,3432.569208,-13.270992
26,11258.77,-58.83,3431.673096,-17.931384
26.05,11263.61,96.93,3433.148328,29.544264
26.1,11266.29,53.54,3433.965192,16.318992
26.15,11266.83,10.84,3434.129784,3.304032
26.2,11267.87,20.66,3434.446776,6.297168
26.25,11271.09,64.53,3435.428232,19.668744
26.3,11267.87,-64.37,3434.446776,-19.619976
26.35,11273.3,108.5,3436.10184,33.0708
26.4,11275.04,34.8,3436.632192,10.60704
26.45,11275.83,15.84,3436.872984,4.828032
26.5,11276.46,12.68,3437.065008,3.864864
26.55,11278.97,50.14,3437.830056,15.282672
26.6,11280.78,36.11,3438.381744,11.006328
26.65,11280.02,-15.12,3438.150096,-4.608576
26.7,11279.42,-12.09,3437.967216,-3.685032
26.75,11281.33,38.34,3438.549384,11.686032
26.8,11276.87,-89.34,3437.189976,-27.230832
26.85,11274.49,-47.46,3436.464552,-14.465808
26.9,11273.6,-17.97,3436.19328,-5.477256
26.95,11275.48,37.62,3436.766304,11.466576
27,11272.98,-49.9,3436.004304,-15.20952
27.05,11270.58,-47.93,3435.272784,-14.609064
27.1,11272.87,45.66,3435.970776,13.917168
27.15,11271.29,-31.46,3435.489192,-9.589008
27.2,11271.44,2.81,3435.534912,0.856488
27.25,11273.15,34.26,3436.05612,10.442448
27.3,11270.52,-52.6,3435.254496,-16.03248
27.35,11271.01,9.92,3435.403848,3.023616
27.85,11270.41,-1.21,3435.220968,-0.368808
28.35,11269.33,-2.16,3434.891784,-0.658368
28.85,11260.26,-18.13,3432.127248,-5.526024
29.35,11242.21,-36.11,3426.625608,-11.006328
29.85,11219.77,-44.88,3419.785896,-13.679424
30.35,11204.21,-31.11,3415.043208,-9.482328
30.85,11179.37,-49.69,3407.471976,-15.145512
31.35,11157.3,-44.15,3400.74504,-13.45692
31.85,11128.64,-57.32,3392.009472,-17.471136
32.35,11101.51,-54.26,3383.740248,-16.538448
32.85,11077.61,-47.8,3376.455528,-14.56944
33.35,11053.49,-48.24,3369.103752,-14.703552
33.85,11029.39,-48.2,3361.758072,-14.69136
34.35,11003.11,-52.55,3353.747928,-16.01724
34.85,10978.09,-50.04,3346.121832,-15.252192
35.35,10957.07,-42.04,3339.714936,-12.813792
35.85,10940.46,-33.23,3334.652208,-10.128504
36.35,10923.37,-34.18,3329.443176,-10.418064
36.85,10905.89,-34.95,3324.115272,-10.65276
37.35,10891.51,-28.76,3319.732248,-8.766048
37.85,10876.21,-30.61,3315.068808,-9.329928
38.35,10857.37,-37.68,3309.326376,-11.484864
38.85,10839.9,-34.95,3304.00152,-10.65276
39.35,10825.32,-29.16,3299.557536,-8.887968
39.85,10808.85,-32.93,3294.53748,-10.037064
40.35,10794.08,-29.54,3290.035584,-9.003792
40.85,10777.67,-32.83,3285.033816,-10.006584
41.35,10763.13,-29.07,3280.602024,-8.860536
41.85,10746.31,-33.65,3275.475288,-10.25652
42.35,10734.85,-22.92,3271.98228,-6.986016
42.85,10718.08,-33.54,3266.870784,-10.222992
43.35,10706.86,-22.43,3263.450928,-6.836664
43.85,10697.29,-19.14,3260.533992,-5.833872
44.35,10680.43,-33.71,3255.395064,-10.274808
44.85,10667.54,-25.77,3251.466192,-7.854696
45.35,10650.24,-34.62,3246.193152,-10.552176
45.85,10636.99,-26.49,3242.154552,-8.074152
